      S/N,P_Id,Name,Price,Colour,Brand,Ratingcount,Avg_Rating,Brand_Id
0,1518329,Dupatta Bazaar White Embroidered Chiffon Dupatta,899,White,Dupatta Bazaar,1321,4.548826646,242
1,10711448,Dupatta Bazaar Women White Solid Dupatta,599,White,Dupatta Bazaar,1531,4.536250816,242
2,14964708,Dupatta Bazaar Orange & Green Dyed Art Silk Bandhani Dupatta,899,Orange,Dupatta Bazaar,30,4.366666667,242
3,13552234,Dupatta Bazaar Black Solid Dupatta,599,Black,Dupatta Bazaar,232,4.547413793,242
4,17663032,Dupatta Bazaar Women's Solid Orange Dupatta,599,Orange,Dupatta Bazaar,0,0,242
5,12866574,Dupatta Bazaar Maroon Solid Dupatta,699,Maroon,Dupatta Bazaar,118,4.245762712,242
6,17662986,Dupatta Bazaar Green Striped Tie and Dye Dupatta,999,Green,Dupatta Bazaar,0,0,242
7,15514526,Dupatta Bazaar Navy Blue Embroidered Dupatta with Mirror Work,999,Navy Blue,Dupatta Bazaar,41,4.536585366,242
8,14447434,Dupatta Bazaar White Ethnic Motifs Embroidered Dupatta,999,White,Dupatta Bazaar,47,4.382978723,242
9,13041774,Dupatta Bazaar Women Pink & Off-White Striped Leheriya Dupatta,1399,Pink,Dupatta Bazaar,0,0,242
10,10588018,Dupatta Bazaar White Dyed Dupatta,499,White,Dupatta Bazaar,154,4.415584416,242
11,14447530,Dupatta Bazaar Pink & Gold-Toned Woven Design Banarasi Pure Silk Dupatta,1499,Pink,Dupatta Bazaar,12,4,242
12,17663034,Dupatta Bazaar Off White & Gold-Toned Embroidered Dupatta,999,Off White,Dupatta Bazaar,7,4.571428571,242
13,996728,Dupatta Bazaar Beige Silk Dupatta,599,Beige,Dupatta Bazaar,173,4.098265896,242
14,14160408,Dupatta Bazaar Silver-Toned Solid Dupatta,899,Silver,Dupatta Bazaar,12,4.666666667,242
15,10487070,Dupatta Bazaar Off-White Solid Dupatta,599,Off White,Dupatta Bazaar,59,4.084745763,242
16,18652504,Dupatta Bazaar Yellow & Pink Embroidered Dupatta with Thread Work,6999,Yellow,Dupatta Bazaar,0,0,242
17,14160340,Dupatta Bazaar White Embroidered Chiffon Dupatta,999,White,Dupatta Bazaar,15,4.133333333,242
18,12866552,Dupatta Bazaar Orange Solid Dupatta,699,Orange,Dupatta Bazaar,21,4.19047619,242
19,17662850,Dupatta Bazaar Gold-Toned Embroidered Dupatta with Gotta Patti,999,Gold,Dupatta Bazaar,9,4,242
20,17662820,Dupatta Bazaar Maroon Dupatta,599,Maroon,Dupatta Bazaar,0,0,242
21,996729,Dupatta Bazaar White Silk Dupatta,599,White,Dupatta Bazaar,33,4.181818182,242
22,12047844,Dupatta Bazaar Beige & Gold-Coloured Embellished Dupatta,799,Beige,Dupatta Bazaar,207,3.739130435,242
23,15043152,Dupatta Bazaar Maroon & Black Ethnic Motifs Block Printed Dupatta,3499,Maroon,Dupatta Bazaar,9,4.555555556,242
24,17662882,Dupatta Bazaar Red Woven Design Dupatta with Sequinned Detail,999,Red,Dupatta Bazaar,0,0,242
25,10358133,Dupatta Bazaar Red & Gold-Coloured Woven Design Dupatta,699,Red,Dupatta Bazaar,51,4.37254902,242
26,18207362,Dupatta Bazaar Black Linen Dupatta,899,Black,Dupatta Bazaar,0,0,242
27,18207274,Dupatta Bazaar Pink & Gold-Toned Ethnic Motifs Printed Art Silk Dupatta,899,Pink,Dupatta Bazaar,0,0,242
28,17662918,Dupatta Bazaar White & Gold-Toned Embroidered Net Dupatta,999,White,Dupatta Bazaar,5,4.2,242
29,18068014,Dupatta Bazaar Women Red Embroidered Chiffon Dupatta,799,Red,Dupatta Bazaar,0,0,242
30,12967844,Dupatta Bazaar Black Embroidered Dupatta,899,Black,Dupatta Bazaar,18,4.444444444,242
31,1518333,Dupatta Bazaar White & Gold-Toned Embroidered & Embellished Chiffon Dupatta,899,White,Dupatta Bazaar,87,4.022988506,242
32,13552264,Dupatta Bazaar Pink & Gold-Toned Woven Design Dupatta,799,Pink,Dupatta Bazaar,16,3.3125,242
33,1852518,Dupatta Bazaar Red & Orange Silk Bandhani Print Dupatta,2399,Red,Dupatta Bazaar,11,3.727272727,242
34,18652572,Dupatta Bazaar Olive Green Printed Tie and Dye Dupatta,499,Olive,Dupatta Bazaar,5,4.4,242
35,18976780,Dupatta Bazaar Blue & Gold-Toned Woven Design Organza Dupatta,999,Blue,Dupatta Bazaar,0,0,242
36,10358153,Dupatta Bazaar White Solid Dupatta,599,White,Dupatta Bazaar,11,4.272727273,242
37,14160344,Dupatta Bazaar Olive Green Solid Organza Dupatta,599,Olive,Dupatta Bazaar,19,4.052631579,242
38,14447462,Dupatta Bazaar Green Ethnic Motifs Embroidered Dupatta with Mirror Work,999,Green,Dupatta Bazaar,18,4.666666667,242
39,12889076,Dupatta Bazaar Navy Blue Embroidered Dupatta,999,Navy Blue,Dupatta Bazaar,7,4.285714286,242
40,9260667,Dupatta Bazaar Beige & Pink Printed Dupatta,799,Beige,Dupatta Bazaar,35,4.285714286,242
41,17663042,Dupatta Bazaar Beige & White Kashmiri Embroidered Dupatta with Thread Work,2199,Beige,Dupatta Bazaar,0,0,242
